id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category
10794095,عینک آفتابی مانگو مدل m3502 c8,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
10792137,عینک آفتابی اسپیریت مدل p00010 c1,80,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
10381276,عینک آفتابی میباخ مدل 236-2 - Fm-Ad,50,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5430000,عینک علیخانی,False,0,clothe
10789223,عینک آفتابی اسپیریت مدل p00002 c2,100,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
10789216,عینک آفتابی اسپیریت مدل p00006 c1,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,5158000,clothe
11100402,عینک آفتابی لاگوست مدل HX-16806,40,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,لاگوست,5520000,ترند اپتیک,False,0,clothe
11171777,عینک آفتابی مدل ML6014 Transparent Midnight Forest,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5850000,اُپتیک اِستور,False,0,clothe
4924393,عینک آفتابی مورل مدل 8005,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مورل,5680000,عینک علیخانی,False,0,clothe
11696996,عینک آفتابی اوگا مدل 78032 POLARIZED,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اوگا,5900000,عینک دیدار,False,0,clothe
10794098,عینک آفتابی مانگو مدل m3505 c3,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
10273907,عینک شب میباخ مدل Rma-N2001 - M,90,6,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5100000,بازار تخفیف,False,0,clothe
10789624,عینک آفتابی اسپریت مدل p00041 c4,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپریت,5725000,دیجی‌کالا,False,0,clothe
10788954,عینک آفتابی اسپیریت مدل p00015 c3,80,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
10790035,عینک شب مانگو مدل m9996 c10,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,5725000,clothe
